Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
24-Jul-22,26-Jul-22,DESI Logo with text,56838667,Sticker,Canada,Canada,ON,to be paid,1,1.64,1.64,0
24-Jul-22,26-Jul-22,DESI Logo,56838667,Sticker,Canada,Canada,ON,to be paid,1,1.64,1.64,0
24-Jul-22,26-Jul-22,DESI plane,56838667,Sticker,Canada,Canada,ON,to be paid,1,1.64,1.64,0
24-Jul-22,26-Jul-22,Desi Coyote - Canis Major,56838667,Sticker,Canada,Canada,ON,to be paid,1,1.64,1.64,0
18-Jul-22,19-Jul-22,Coma Cluster from the Legacy Imaging Survey,56711537,Mug,United States,United States,CA,to be paid,1,16.09,16.09,0
18-Jul-22,21-Jul-22,Cosmic Cartography,56711537,Canvas Print,United States,United States,CA,to be paid,1,114.02,114.02,0
18-Jul-22,21-Jul-22,Cosmic Cartography,56711537,Art Print,United States,United States,CA,to be paid,1,54.39,54.39,0
15-Jul-22,16-Jul-22,Desi Coyote - Canis Major,56658687,Transparent Sticker,United States,United States,NY,to be paid,1,1.44,1.44,0
13-Jul-22,15-Jul-22,M31 Focal Plane,56593218,Sticker,United States,United States,TX,to be paid,1,1.16,1.16,0
13-Jul-22,15-Jul-22,DESI Logo with text,56593218,Sticker,United States,United States,TX,to be paid,1,1.16,1.16,0
12-Jul-22,14-Jul-22,Desi Coyote - Canis Major,56573610,Transparent Sticker,United States,United States,MI,to be paid,1,1.41,1.41,0
10-Jul-22,12-Jul-22,DESI plane,56508658,Premium T-Shirt,United States,United States,MA,to be paid,1,28.05,28.05,0
10-Jul-22,12-Jul-22,DESI plane,56508658,Premium T-Shirt,United States,United States,MA,to be paid,1,28.05,28.05,0
 8 Jul 22,11-Jul-22,DESI Logo,56431179,Mug,United States,United States,MA,to be paid,2,26.76,26.76,0
 8 Jul 22,11-Jul-22,Cosmic Cartography,56431179,Poster,United States,United States,MA,to be paid,1,14.5,14.5,0
