Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
30 Nov 21, 3 Dec 21,DESI plane,50698654,Premium T-Shirt,United States,United States,IL,to be paid,1,26.11,26.11,0.00
30 Nov 21, 1 Dec 21,Cosmic Cartography,50695793,Art Print,United States,United States,IL,to be paid,1,19.06,19.06,0.00
30 Nov 21, 1 Dec 21,DESI Logo,50695793,Mug,United States,United States,IL,to be paid,1,14.65,14.65,0.00
30 Nov 21, 2 Dec 21,DESI plane,50690734,Lightweight Sweatshirt,United States,United States,AZ,to be paid,1,32.05,32.05,0.00
29 Nov 21, 3 Dec 21,Desi Coyote,50619096,Mask,Germany,Spain,Barcelona,to be paid,2,16.88,16.88,0.00
29 Nov 21, 3 Dec 21,DESI Legacy Imaging Survey Footprint,50619096,Mask,Germany,Spain,Barcelona,to be paid,4,33.76,33.76,0.00
29 Nov 21,13 Dec 21,DESI plane,50619096,Premium T-Shirt,Netherlands,Spain,Barcelona,to be paid,1,36.94,36.94,0.00
29 Nov 21, 9 Dec 21,Coma Cluster from the Legacy Imaging Survey,50608903,Throw Pillow,United States,United States,AZ,to be paid,2,45.90,45.90,0.00
28 Nov 21,29 Nov 21,Desi Coyote - Canis Major,50560880,Sticker,United Kingdom,United Kingdom,ENGLAND,to be paid,1,1.01,1.01,0.00
28 Nov 21,29 Nov 21,DESI plane,50560880,Sticker,United Kingdom,United Kingdom,ENGLAND,to be paid,4,4.04,4.04,0.00
28 Nov 21,30 Nov 21,DESI Logo with text,50552453,Hardcover Journal,United States,United States,OH,to be paid,1,18.59,18.59,0.00
28 Nov 21,N/A,DESI Logo with text,50552453,Premium T-Shirt,United States,United States,OH,cancelled,1,25.71,25.71,0.00
28 Nov 21,29 Nov 21,Desi Coyote - Canis Major,50552453,Sticker,United States,United States,OH,to be paid,5,5.75,5.75,0.00
28 Nov 21,29 Nov 21,DESI Logo,50552453,Sticker,United States,United States,OH,to be paid,5,5.75,5.75,0.00
28 Nov 21,30 Nov 21,DESI Logo,50552453,Mug,United States,United States,OH,to be paid,7,80.78,80.78,0.00
26 Nov 21,29 Nov 21,Coma Cluster from the Legacy Imaging Survey,50439560,Mug,United Kingdom,United Kingdom,ENGLAND,to be paid,1,12.29,12.29,0.00
25 Nov 21,29 Nov 21,DESI plane,50377927,Premium T-Shirt,Netherlands,Croatia,NOVA MOKOSICA,to be paid,1,28.39,28.39,0.00
